#	Name:   Map from Ohio Scientific Superboard II Model 600 character set to Unicode
#	Date:   2021 November 21
#	Author: Rebecca Bettencourt <support@kreativekorp.com>

0x00	0x1CC9C	# VERTICAL RACING CAR
0x01	0x1CC9D	# VERTICAL GO-KART
0x02	0x1CE00	# RIGHT HALF AND LEFT HALF WHITE CIRCLE
0x03	0x1CE01	# LOWER HALF AND UPPER HALF WHITE CIRCLE
0x04	0x1CE02	# EXPLOSION AT HORIZON
0x05	0x1CE03	# UPPER HALF HEAVY WHITE SQUARE
0x06	0x1F791	# HEAVY WHITE SQUARE
0x07	0x1CE04	# LOWER HALF HEAVY WHITE SQUARE
0x08	0x1CE05	# HEAVY WHITE SQUARE CONTAINING BLACK VERY SMALL SQUARE
0x09	0x29CB	# TRIANGLE WITH UNDERBAR
0x0A	0x000A	# LINE FEED
0x0B	0x005E	# CIRCUMFLEX ACCENT
0x0C	0x2261	# IDENTICAL TO
0x0D	0x1F333	# DECIDUOUS TREE
0x0E	0x1F3E0	# HOUSE BUILDING
0x0F	0x1F3D8	# HOUSE BUILDINGS
0x10	0x21A5	# UPWARDS ARROW FROM BAR
0x11	0x1F8B9	# NORTH EAST ARROW FROM BAR
0x12	0x21A6	# RIGHTWARDS ARROW FROM BAR
0x13	0x1F8BA	# SOUTH EAST ARROW FROM BAR
0x14	0x21A7	# DOWNWARDS ARROW FROM BAR
0x15	0x1F8BB	# SOUTH WEST ARROW FROM BAR
0x16	0x21A4	# LEFTWARDS ARROW FROM BAR
0x17	0x1F8B8	# NORTH WEST ARROW FROM BAR
0x18	0x00A3	# POUND SIGN
0x19	0x223C	# TILDE OPERATOR
0x1A	0x1CE06	# WHITE VERTICAL RECTANGLE WITH HORIZONTAL BAR
0x1B	0x25AF	# WHITE VERTICAL RECTANGLE
0x1C	0x1CE07	# TOP RIGHT BLACK LEFT-POINTING SMALL TRIANGLE
0x1D	0x1CE09	# BOX DRAWINGS DOUBLE DIAGONAL LOWER LEFT TO MIDDLE CENTRE TO LOWER RIGHT
0x1E	0x1CE08	# FUNNEL
0x1F	0x1CE0A	# BOX DRAWINGS DOUBLE DIAGONAL UPPER LEFT TO MIDDLE CENTRE TO UPPER RIGHT
0x20	0x0020	# SPACE
0x21	0x0021	# EXCLAMATION MARK
0x22	0x0022	# QUOTATION MARK
0x23	0x0023	# NUMBER SIGN
0x24	0x0024	# DOLLAR SIGN
0x25	0x0025	# PERCENT SIGN
0x26	0x0026	# AMPERSAND
0x27	0x0027	# APOSTROPHE
0x28	0x0028	# LEFT PARENTHESIS
0x29	0x0029	# RIGHT PARENTHESIS
0x2A	0x002A	# ASTERISK
0x2B	0x002B	# PLUS SIGN
0x2C	0x002C	# COMMA
0x2D	0x002D	# HYPHEN-MINUS
0x2E	0x002E	# FULL STOP
0x2F	0x002F	# SOLIDUS
0x30	0x0030	# DIGIT ZERO
0x31	0x0031	# DIGIT ONE
0x32	0x0032	# DIGIT TWO
0x33	0x0033	# DIGIT THREE
0x34	0x0034	# DIGIT FOUR
0x35	0x0035	# DIGIT FIVE
0x36	0x0036	# DIGIT SIX
0x37	0x0037	# DIGIT SEVEN
0x38	0x0038	# DIGIT EIGHT
0x39	0x0039	# DIGIT NINE
0x3A	0x003A	# COLON
0x3B	0x003B	# SEMICOLON
0x3C	0x003C	# LESS-THAN SIGN
0x3D	0x003D	# EQUALS SIGN
0x3E	0x003E	# GREATER-THAN SIGN
0x3F	0x003F	# QUESTION MARK
0x40	0x0040	# COMMERCIAL AT
0x41	0x0041	# LATIN CAPITAL LETTER A
0x42	0x0042	# LATIN CAPITAL LETTER B
0x43	0x0043	# LATIN CAPITAL LETTER C
0x44	0x0044	# LATIN CAPITAL LETTER D
0x45	0x0045	# LATIN CAPITAL LETTER E
0x46	0x0046	# LATIN CAPITAL LETTER F
0x47	0x0047	# LATIN CAPITAL LETTER G
0x48	0x0048	# LATIN CAPITAL LETTER H
0x49	0x0049	# LATIN CAPITAL LETTER I
0x4A	0x004A	# LATIN CAPITAL LETTER J
0x4B	0x004B	# LATIN CAPITAL LETTER K
0x4C	0x004C	# LATIN CAPITAL LETTER L
0x4D	0x004D	# LATIN CAPITAL LETTER M
0x4E	0x004E	# LATIN CAPITAL LETTER N
0x4F	0x004F	# LATIN CAPITAL LETTER O
0x50	0x0050	# LATIN CAPITAL LETTER P
0x51	0x0051	# LATIN CAPITAL LETTER Q
0x52	0x0052	# LATIN CAPITAL LETTER R
0x53	0x0053	# LATIN CAPITAL LETTER S
0x54	0x0054	# LATIN CAPITAL LETTER T
0x55	0x0055	# LATIN CAPITAL LETTER U
0x56	0x0056	# LATIN CAPITAL LETTER V
0x57	0x0057	# LATIN CAPITAL LETTER W
0x58	0x0058	# LATIN CAPITAL LETTER X
0x59	0x0059	# LATIN CAPITAL LETTER Y
0x5A	0x005A	# LATIN CAPITAL LETTER Z
0x5B	0x005B	# LEFT SQUARE BRACKET
0x5C	0x005C	# REVERSE SOLIDUS
0x5D	0x005D	# RIGHT SQUARE BRACKET
0x5E	0x2191	# UPWARDS ARROW
0x5F	0x005F	# LOW LINE
0x60	0x00A0	# NO-BREAK SPACE
0x61	0x0061	# LATIN SMALL LETTER A
0x62	0x0062	# LATIN SMALL LETTER B
0x63	0x0063	# LATIN SMALL LETTER C
0x64	0x0064	# LATIN SMALL LETTER D
0x65	0x0065	# LATIN SMALL LETTER E
0x66	0x0066	# LATIN SMALL LETTER F
0x67	0x0067	# LATIN SMALL LETTER G
0x68	0x0068	# LATIN SMALL LETTER H
0x69	0x0069	# LATIN SMALL LETTER I
0x6A	0x006A	# LATIN SMALL LETTER J
0x6B	0x006B	# LATIN SMALL LETTER K
0x6C	0x006C	# LATIN SMALL LETTER L
0x6D	0x006D	# LATIN SMALL LETTER M
0x6E	0x006E	# LATIN SMALL LETTER N
0x6F	0x006F	# LATIN SMALL LETTER O
0x70	0x0070	# LATIN SMALL LETTER P
0x71	0x0071	# LATIN SMALL LETTER Q
0x72	0x0072	# LATIN SMALL LETTER R
0x73	0x0073	# LATIN SMALL LETTER S
0x74	0x0074	# LATIN SMALL LETTER T
0x75	0x0075	# LATIN SMALL LETTER U
0x76	0x0076	# LATIN SMALL LETTER V
0x77	0x0077	# LATIN SMALL LETTER W
0x78	0x0078	# LATIN SMALL LETTER X
0x79	0x0079	# LATIN SMALL LETTER Y
0x7A	0x007A	# LATIN SMALL LETTER Z
0x7B	0x007B	# LEFT CURLY BRACKET
0x7C	0x007D	# RIGHT CURLY BRACKET
0x7D	0x007C	# VERTICAL LINE
0x7E	0x00F7	# DIVISION SIGN
0x7F	0x007E	# TILDE
0x80	0x2581	# LOWER ONE EIGHTH BLOCK
0x81	0x1FB7B	# HORIZONTAL ONE EIGHTH BLOCK-7
0x82	0x1FB7A	# HORIZONTAL ONE EIGHTH BLOCK-6
0x83	0x1FB79	# HORIZONTAL ONE EIGHTH BLOCK-5
0x84	0x1FB78	# HORIZONTAL ONE EIGHTH BLOCK-4
0x85	0x1FB77	# HORIZONTAL ONE EIGHTH BLOCK-3
0x86	0x1FB76	# HORIZONTAL ONE EIGHTH BLOCK-2
0x87	0x2594	# UPPER ONE EIGHTH BLOCK
0x88	0x258F	# LEFT ONE EIGHTH BLOCK
0x89	0x1FB70	# VERTICAL ONE EIGHTH BLOCK-2
0x8A	0x1FB71	# VERTICAL ONE EIGHTH BLOCK-3
0x8B	0x1FB72	# VERTICAL ONE EIGHTH BLOCK-4
0x8C	0x1FB73	# VERTICAL ONE EIGHTH BLOCK-5
0x8D	0x1FB74	# VERTICAL ONE EIGHTH BLOCK-6
0x8E	0x1FB75	# VERTICAL ONE EIGHTH BLOCK-7
0x8F	0x2595	# RIGHT ONE EIGHTH BLOCK
0x90	0x2582	# LOWER ONE QUARTER BLOCK
0x91	0x1FB82	# UPPER ONE QUARTER BLOCK
0x92	0x258E	# LEFT ONE QUARTER BLOCK
0x93	0x1FB87	# RIGHT ONE QUARTER BLOCK
0x94	0x2501	# BOX DRAWINGS HEAVY HORIZONTAL
0x95	0x2503	# BOX DRAWINGS HEAVY VERTICAL
0x96	0x2583	# LOWER THREE EIGHTHS BLOCK
0x97	0x1FB83	# UPPER THREE EIGHTHS BLOCK
0x98	0x258D	# LEFT THREE EIGHTHS BLOCK
0x99	0x1FB88	# RIGHT THREE EIGHTHS BLOCK
0x9A	0x2584	# LOWER HALF BLOCK
0x9B	0x2580	# UPPER HALF BLOCK
0x9C	0x258C	# LEFT HALF BLOCK
0x9D	0x2590	# RIGHT HALF BLOCK
0x9E	0x2585	# LOWER FIVE EIGHTHS BLOCK
0x9F	0x2586	# LOWER THREE QUARTERS BLOCK
0xA0	0x2587	# LOWER SEVEN EIGHTHS BLOCK
0xA1	0x2588	# FULL BLOCK
0xA2	0x1FB84	# UPPER FIVE EIGHTHS BLOCK
0xA3	0x1FB85	# UPPER THREE QUARTERS BLOCK
0xA4	0x1FB86	# UPPER SEVEN EIGHTHS BLOCK
0xA5	0x2597	# QUADRANT LOWER RIGHT
0xA6	0x259D	# QUADRANT UPPER RIGHT
0xA7	0x2596	# QUADRANT LOWER LEFT
0xA8	0x2598	# QUADRANT UPPER LEFT
0xA9	0x259A	# QUADRANT UPPER LEFT AND LOWER RIGHT
0xAA	0x259E	# QUADRANT UPPER RIGHT AND LOWER LEFT
0xAB	0x1FBE5	# LOWER CENTRE ONE QUARTER BLOCK
0xAC	0x1FBE4	# UPPER CENTRE ONE QUARTER BLOCK
0xAD	0x1FBE7	# MIDDLE RIGHT ONE QUARTER BLOCK
0xAE	0x1FBE6	# MIDDLE LEFT ONE QUARTER BLOCK
0xAF	0x25E4	# BLACK UPPER LEFT TRIANGLE
0xB0	0x25E2	# BLACK LOWER RIGHT TRIANGLE
0xB1	0x25E5	# BLACK UPPER RIGHT TRIANGLE
0xB2	0x25E3	# BLACK LOWER LEFT TRIANGLE
0xB3	0x21D2	# RIGHTWARDS DOUBLE ARROW
0xB4	0x21D0	# LEFTWARDS DOUBLE ARROW
0xB5	0x21D4	# LEFT RIGHT DOUBLE ARROW
0xB6	0x2206	# INCREMENT
0xB7	0x1FB8E	# UPPER HALF MEDIUM SHADE
0xB8	0x1FB8F	# LOWER HALF MEDIUM SHADE
0xB9	0x1FB8C	# LEFT HALF MEDIUM SHADE
0xBA	0x1FB8D	# RIGHT HALF MEDIUM SHADE
0xBB	0x2592	# MEDIUM SHADE
0xBC	0x2573	# BOX DRAWINGS LIGHT DIAGONAL CROSS
0xBD	0x2571	# BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO LOWER LEFT
0xBE	0x2572	# BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO LOWER RIGHT
0xBF	0x1FBD8	# BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO MIDDLE CENTRE TO UPPER RIGHT
0xC0	0x1FBD9	# BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO MIDDLE CENTRE TO LOWER RIGHT
0xC1	0x1FBDA	# BOX DRAWINGS LIGHT DIAGONAL LOWER LEFT TO MIDDLE CENTRE TO LOWER RIGHT
0xC2	0x1FBDB	# BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO MIDDLE CENTRE TO LOWER LEFT
0xC3	0x1FBD1	# BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO MIDDLE LEFT
0xC4	0x1FBD0	# BOX DRAWINGS LIGHT DIAGONAL MIDDLE RIGHT TO LOWER LEFT
0xC5	0x1FBD2	# BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO MIDDLE RIGHT
0xC6	0x1FBD3	# BOX DRAWINGS LIGHT DIAGONAL MIDDLE LEFT TO LOWER RIGHT
0xC7	0x1FBD5	# BOX DRAWINGS LIGHT DIAGONAL UPPER CENTRE TO LOWER RIGHT
0xC8	0x1FBD4	# BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO LOWER CENTRE
0xC9	0x1FBD6	# BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO LOWER CENTRE
0xCA	0x1FBD7	# BOX DRAWINGS LIGHT DIAGONAL UPPER CENTRE TO LOWER LEFT
0xCB	0x2514	# BOX DRAWINGS LIGHT UP AND RIGHT
0xCC	0x250C	# BOX DRAWINGS LIGHT DOWN AND RIGHT
0xCD	0x2510	# BOX DRAWINGS LIGHT DOWN AND LEFT
0xCE	0x2518	# BOX DRAWINGS LIGHT UP AND LEFT
0xCF	0x1FB7E	# RIGHT AND UPPER ONE EIGHTH BLOCK
0xD0	0x1FB7F	# RIGHT AND LOWER ONE EIGHTH BLOCK
0xD1	0x1FB7C	# LEFT AND LOWER ONE EIGHTH BLOCK
0xD2	0x1FB7D	# LEFT AND UPPER ONE EIGHTH BLOCK
0xD3	0x221A	# SQUARE ROOT
0xD4	0x222B	# INTEGRAL
0xD5	0x00B7	# MIDDLE DOT
0xD6	0x2248	# ALMOST EQUAL TO
0xD7	0x253B	# BOX DRAWINGS HEAVY UP AND HORIZONTAL
0xD8	0x2523	# BOX DRAWINGS HEAVY VERTICAL AND RIGHT
0xD9	0x2533	# BOX DRAWINGS HEAVY DOWN AND HORIZONTAL
0xDA	0x252B	# BOX DRAWINGS HEAVY VERTICAL AND LEFT
0xDB	0x254B	# BOX DRAWINGS HEAVY VERTICAL AND HORIZONTAL
0xDC	0x2570	# BOX DRAWINGS LIGHT ARC UP AND RIGHT
0xDD	0x256D	# BOX DRAWINGS LIGHT ARC DOWN AND RIGHT
0xDE	0x256E	# BOX DRAWINGS LIGHT ARC DOWN AND LEFT
0xDF	0x256F	# BOX DRAWINGS LIGHT ARC UP AND LEFT
0xE0	0x1FBE1	# RIGHT JUSTIFIED LEFT HALF WHITE CIRCLE
0xE1	0x1FBE3	# LEFT JUSTIFIED RIGHT HALF WHITE CIRCLE
0xE2	0x25CB	# WHITE CIRCLE
0xE3	0x1CE0B	# LEFT HALF WHITE ELLIPSE
0xE4	0x1CE0C	# RIGHT HALF WHITE ELLIPSE
0xE5	0x2665	# BLACK HEART SUIT
0xE6	0x2663	# BLACK CLUB SUIT
0xE7	0x2660	# BLACK SPADE SUIT
0xE8	0x2666	# BLACK DIAMOND SUIT
0xE9	0x1CC8B	# SQUARE FOUR CORNER BLACK TRIANGLES
0xEA	0x25C0	# BLACK LEFT-POINTING TRIANGLE
0xEB	0x25B6	# BLACK RIGHT-POINTING TRIANGLE
0xEC	0x1F6E7	# UP-POINTING AIRPLANE
0xED	0x2708	# AIRPLANE
0xEE	0x1CDF8	# DOWN-POINTING AIRPLANE
0xEF	0x1CDF9	# LEFT-POINTING AIRPLANE
0xF0	0x1CDFA	# SMALL UP-POINTING AIRPLANE
0xF1	0x03B1	# GREEK SMALL LETTER ALPHA
0xF2	0x03B2	# GREEK SMALL LETTER BETA
0xF3	0x03C9	# GREEK SMALL LETTER OMEGA
0xF4	0x03B4	# GREEK SMALL LETTER DELTA
0xF5	0x03C8	# GREEK SMALL LETTER PSI
0xF6	0x03A9	# GREEK CAPITAL LETTER OMEGA
0xF7	0x03BC	# GREEK SMALL LETTER MU
0xF8	0x03C0	# GREEK SMALL LETTER PI
0xF9	0x03A3	# GREEK CAPITAL LETTER SIGMA
0xFA	0x03BB	# GREEK SMALL LETTER LAMDA
0xFB	0x03C6	# GREEK SMALL LETTER PHI
0xFC	0x03B8	# GREEK SMALL LETTER THETA
0xFD	0x03B5	# GREEK SMALL LETTER EPSILON
0xFE	0x03BD	# GREEK SMALL LETTER NU
0xFF	0x03B3	# GREEK SMALL LETTER GAMMA
